City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
237379,Ndélé,0,CF,1612288596,21,8.4109,20.6473,82.56,1.39
4032243,Vaini,90,TO,1612288597,100,-21.2,-175.2,77,14.97
3372707,Ribeira Grande,40,PT,1612288600,62,38.5167,-28.7,57.2,26.46
6170031,Tuktoyaktuk,20,CA,1612288601,68,69.4541,-133.0374,-29.2,5.75
5866583,Saint Paul Harbor,90,US,1612288565,86,57.79,-152.4072,26.6,4.99
986717,Kruisfontein,0,ZA,1612288603,70,-34.0033,24.7314,73.99,3
601294,Nukus,0,UZ,1612288604,60,42.4531,59.6103,35.6,9.22
496285,Severodvinsk,90,RU,1612288604,85,64.5635,39.8302,14,8.95
1507390,Dikson,38,RU,1612288605,82,73.5069,80.5464,-21.35,13.33
5855927,Hilo,1,US,1612288607,72,19.7297,-155.09,66.99,8.05
3421193,Paamiut,0,GL,1612288608,85,61.994,-49.6678,7.74,18.68
2630299,Hofn,100,IS,1612288609,89,64.2539,-15.2082,32.85,14.41
5859699,College,1,US,1612288611,69,64.8569,-147.8028,-18.4,3.44
2122090,Pevek,100,RU,1612288613,94,69.7008,170.3133,9.63,7.61
3395458,Maragogi,32,BR,1612288614,67,-9.0122,-35.2225,82.69,13.29
3670242,San Alberto,22,CO,1612288616,41,7.7611,-73.3922,93.99,4.21
964432,Port Alfred,0,ZA,1612288618,87,-33.5906,26.891,69.01,5.99
6165406,Thompson,90,CA,1612288618,92,55.7435,-97.8558,15.8,4.61
2206939,Bluff,75,NZ,1612288469,91,-46.6,168.3333,57,8.1
3369157,Cape Town,0,ZA,1612288513,44,-33.9258,18.4232,77,13.8
2071860,Esperance,90,AU,1612288623,40,-33.8667,121.9,71.6,12.66
5354943,Half Moon Bay,90,US,1612288623,100,37.4636,-122.4286,55,4.92
3833367,Ushuaia,75,AR,1612288624,71,-54.8,-68.3,53.6,17.27
2156643,Mount Gambier,90,AU,1612288625,77,-37.8333,140.7667,57.2,10.36
1819729,Hong Kong,19,HK,1612288573,82,22.2855,114.1577,64,1.01
2264557,Ponta do Sol,78,PT,1612288627,65,32.6667,-17.1,62.01,1.99
4030556,Rikitea,84,PF,1612288567,76,-23.1203,-134.9692,78.01,16.44
6201424,Mataura,63,NZ,1612288578,94,-46.1927,168.8643,53.11,1.61
2146219,Hervey Bay,75,AU,1612288629,94,-25.2986,152.8535,73.99,4.61
2255542,Owando,90,CG,1612288629,64,-0.4819,15.8999,81.36,1.61
3421719,Narsaq,75,GL,1612288630,74,60.9167,-46.05,24.8,9.22
2171099,Codrington,76,AU,1612288630,79,-38.2667,141.9667,57.83,6.76
3424607,Tasiilaq,90,GL,1612288570,86,65.6145,-37.6368,17.6,4.61
2110227,Butaritari,72,KI,1612288632,82,3.0707,172.7902,81.59,18.59
2013279,Vostok,100,RU,1612288633,85,46.4856,135.8833,-26.9,7.9
1053384,Toamasina,40,MG,1612288634,89,-18.1667,49.3833,80.6,5.75
2163355,Hobart,90,AU,1612288492,71,-42.8794,147.3294,55.99,1.14
2171085,Coffs Harbour,42,AU,1612288636,77,-30.3,153.1333,68,9.22
1513491,Yangi Marg`ilon,31,UZ,1612288637,60,40.4272,71.7189,41,4.61
5106841,Albany,100,US,1612288554,88,42.6001,-73.9662,30,1.99
3874787,Punta Arenas,40,CL,1612288640,55,-53.15,-70.9167,64.4,18.41
2022143,Khuzhir,86,RU,1612288641,81,53.1939,107.3397,-6.41,2.37
5866063,Kenai,1,US,1612288642,66,60.5544,-151.2583,7,8.34
3382160,Cayenne,75,GF,1612288644,74,4.9333,-52.3333,84.2,13.8
2112802,Hasaki,20,JP,1612288645,69,35.7333,140.8333,33.8,4.61
3831208,Qaanaaq,100,GL,1612288647,86,77.484,-69.3632,-5.51,4.5
1847947,Shingū,0,JP,1612288648,77,33.7333,135.9833,37.04,10.47
3430443,Necochea,23,AR,1612288649,55,-38.5473,-58.7368,75,11.88
6185377,Yellowknife,90,CA,1612288650,70,62.456,-114.3525,-11.99,17.27
3471451,Arraial do Cabo,20,BR,1612288650,54,-22.9661,-42.0278,89.6,20.71
2381972,Adrar,48,MR,1612288651,15,20.5022,-10.0711,80.65,8.16
3374083,Bathsheba,40,BB,1612288652,54,13.2167,-59.5167,84.2,20.71
3437443,Pozo Colorado,7,PY,1612288652,39,-23.4923,-58.7972,99.32,9.95
935214,Saint-Pierre,20,RE,1612288653,74,-21.3393,55.4781,82.4,2.3
